split,category,slide_id,roi_label,image_id,bytes,remote_path
train,0_N,BRACS_1003675,N,BRACS_1003675_N_1.png,10507581,/BRACS_RoI/latest_version/train/0_N/BRACS_1003675_N_1.png
train,0_N,BRACS_1003713,N,BRACS_1003713_N_1.png,3465007,/BRACS_RoI/latest_version/train/0_N/BRACS_1003713_N_1.png
train,0_N,BRACS_1003714,N,BRACS_1003714_N_1.png,14122060,/BRACS_RoI/latest_version/train/0_N/BRACS_1003714_N_1.png
train,0_N,BRACS_1003715,N,BRACS_1003715_N_1.png,11461037,/BRACS_RoI/latest_version/train/0_N/BRACS_1003715_N_1.png
train,0_N,BRACS_1003716,N,BRACS_1003716_N_1.png,4033640,/BRACS_RoI/latest_version/train/0_N/BRACS_1003716_N_1.png
train,0_N,BRACS_1003717,N,BRACS_1003717_N_1.png,3181845,/BRACS_RoI/latest_version/train/0_N/BRACS_1003717_N_1.png
train,0_N,BRACS_1003718,N,BRACS_1003718_N_1.png,2204635,/BRACS_RoI/latest_version/train/0_N/BRACS_1003718_N_1.png
train,0_N,BRACS_1231,N,BRACS_1231_N_11.png,11843988,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_11.png
train,0_N,BRACS_1231,N,BRACS_1231_N_18.png,7947971,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_18.png
train,0_N,BRACS_1231,N,BRACS_1231_N_19.png,6298850,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_19.png
train,0_N,BRACS_1231,N,BRACS_1231_N_24.png,9638630,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_24.png
train,0_N,BRACS_1231,N,BRACS_1231_N_27.png,7119049,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_27.png
train,0_N,BRACS_1231,N,BRACS_1231_N_29.png,11258740,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_29.png
train,0_N,BRACS_1231,N,BRACS_1231_N_37.png,7478602,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_37.png
train,0_N,BRACS_1231,N,BRACS_1231_N_38.png,5108789,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_38.png
train,0_N,BRACS_1231,N,BRACS_1231_N_39.png,1940827,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_39.png
train,0_N,BRACS_1231,N,BRACS_1231_N_40.png,4952527,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_40.png
train,0_N,BRACS_1231,N,BRACS_1231_N_41.png,10568684,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_41.png
train,0_N,BRACS_1231,N,BRACS_1231_N_45.png,3735692,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_45.png
train,0_N,BRACS_1231,N,BRACS_1231_N_50.png,4604412,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_50.png
train,0_N,BRACS_1231,N,BRACS_1231_N_52.png,2089291,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_52.png
train,0_N,BRACS_1231,N,BRACS_1231_N_54.png,4180632,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_54.png
train,0_N,BRACS_1231,N,BRACS_1231_N_56.png,10820247,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_56.png
train,0_N,BRACS_1231,N,BRACS_1231_N_58.png,4303682,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_58.png
train,0_N,BRACS_1231,N,BRACS_1231_N_61.png,7378155,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_61.png
train,0_N,BRACS_1231,N,BRACS_1231_N_62.png,1852155,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_62.png
train,0_N,BRACS_1231,N,BRACS_1231_N_8.png,9776918,/BRACS_RoI/latest_version/train/0_N/BRACS_1231_N_8.png
train,0_N,BRACS_1235,N,BRACS_1235_N_12.png,10911910,/BRACS_RoI/latest_version/train/0_N/BRACS_1235_N_12.png
train,0_N,BRACS_1235,N,BRACS_1235_N_13.png,11766931,/BRACS_RoI/latest_version/train/0_N/BRACS_1235_N_13.png
train,0_N,BRACS_1235,N,BRACS_1235_N_25.png,15604647,/BRACS_RoI/latest_version/train/0_N/BRACS_1235_N_25.png
train,0_N,BRACS_1235,N,BRACS_1235_N_26.png,13079955,/BRACS_RoI/latest_version/train/0_N/BRACS_1235_N_26.png
train,0_N,BRACS_1235,N,BRACS_1235_N_29.png,13477706,/BRACS_RoI/latest_version/train/0_N/BRACS_1235_N_29.png
train,0_N,BRACS_1235,N,BRACS_1235_N_31.png,12734227,/BRACS_RoI/latest_version/train/0_N/BRACS_1235_N_31.png
train,0_N,BRACS_1235,N,BRACS_1235_N_36.png,6332659,/BRACS_RoI/latest_version/train/0_N/BRACS_1235_N_36.png
train,0_N,BRACS_1235,N,BRACS_1235_N_4.png,10753734,/BRACS_RoI/latest_version/train/0_N/BRACS_1235_N_4.png
train,0_N,BRACS_1235,N,BRACS_1235_N_41.png,5671266,/BRACS_RoI/latest_version/train/0_N/BRACS_1235_N_41.png
train,0_N,BRACS_1235,N,BRACS_1235_N_42.png,9941953,/BRACS_RoI/latest_version/train/0_N/BRACS_1235_N_42.png
train,0_N,BRACS_1235,N,BRACS_1235_N_5.png,12635794,/BRACS_RoI/latest_version/train/0_N/BRACS_1235_N_5.png
train,0_N,BRACS_1235,N,BRACS_1235_N_6.png,22063016,/BRACS_RoI/latest_version/train/0_N/BRACS_1235_N_6.png
train,0_N,BRACS_1235,N,BRACS_1235_N_8.png,18976548,/BRACS_RoI/latest_version/train/0_N/BRACS_1235_N_8.png
train,0_N,BRACS_1235,N,BRACS_1235_N_9.png,15516243,/BRACS_RoI/latest_version/train/0_N/BRACS_1235_N_9.png
train,0_N,BRACS_1272,N,BRACS_1272_N_29.png,10521840,/BRACS_RoI/latest_version/train/0_N/BRACS_1272_N_29.png
train,0_N,BRACS_1272,N,BRACS_1272_N_46.png,29758074,/BRACS_RoI/latest_version/train/0_N/BRACS_1272_N_46.png
train,0_N,BRACS_1279,N,BRACS_1279_N_4.png,34747726,/BRACS_RoI/latest_version/train/0_N/BRACS_1279_N_4.png
train,0_N,BRACS_1318,N,BRACS_1318_N_10.png,11422616,/BRACS_RoI/latest_version/train/0_N/BRACS_1318_N_10.png
train,0_N,BRACS_1318,N,BRACS_1318_N_9.png,17466819,/BRACS_RoI/latest_version/train/0_N/BRACS_1318_N_9.png
train,0_N,BRACS_1319,N,BRACS_1319_N_14.png,17191066,/BRACS_RoI/latest_version/train/0_N/BRACS_1319_N_14.png
train,0_N,BRACS_1319,N,BRACS_1319_N_17.png,10332392,/BRACS_RoI/latest_version/train/0_N/BRACS_1319_N_17.png
train,0_N,BRACS_1319,N,BRACS_1319_N_3.png,27674316,/BRACS_RoI/latest_version/train/0_N/BRACS_1319_N_3.png
train,0_N,BRACS_1319,N,BRACS_1319_N_5.png,25739318,/BRACS_RoI/latest_version/train/0_N/BRACS_1319_N_5.png
train,0_N,BRACS_1320,N,BRACS_1320_N_18.png,23703907,/BRACS_RoI/latest_version/train/0_N/BRACS_1320_N_18.png
train,0_N,BRACS_1320,N,BRACS_1320_N_6.png,27162411,/BRACS_RoI/latest_version/train/0_N/BRACS_1320_N_6.png
train,0_N,BRACS_1322,N,BRACS_1322_N_4.png,36481266,/BRACS_RoI/latest_version/train/0_N/BRACS_1322_N_4.png
train,0_N,BRACS_1325,N,BRACS_1325_N_1.png,11982409,/BRACS_RoI/latest_version/train/0_N/BRACS_1325_N_1.png
train,0_N,BRACS_1325,N,BRACS_1325_N_14.png,10744200,/BRACS_RoI/latest_version/train/0_N/BRACS_1325_N_14.png
train,0_N,BRACS_1325,N,BRACS_1325_N_3.png,27310849,/BRACS_RoI/latest_version/train/0_N/BRACS_1325_N_3.png
train,0_N,BRACS_1325,N,BRACS_1325_N_4.png,10527975,/BRACS_RoI/latest_version/train/0_N/BRACS_1325_N_4.png
train,0_N,BRACS_1325,N,BRACS_1325_N_6.png,4500018,/BRACS_RoI/latest_version/train/0_N/BRACS_1325_N_6.png
train,0_N,BRACS_1325,N,BRACS_1325_N_7.png,4229616,/BRACS_RoI/latest_version/train/0_N/BRACS_1325_N_7.png
train,0_N,BRACS_1325,N,BRACS_1325_N_8.png,5475058,/BRACS_RoI/latest_version/train/0_N/BRACS_1325_N_8.png
train,0_N,BRACS_1325,N,BRACS_1325_N_9.png,9740028,/BRACS_RoI/latest_version/train/0_N/BRACS_1325_N_9.png
train,0_N,BRACS_1326,N,BRACS_1326_N_10.png,21460573,/BRACS_RoI/latest_version/train/0_N/BRACS_1326_N_10.png
train,0_N,BRACS_1326,N,BRACS_1326_N_11.png,9305627,/BRACS_RoI/latest_version/train/0_N/BRACS_1326_N_11.png
train,0_N,BRACS_1326,N,BRACS_1326_N_2.png,30205040,/BRACS_RoI/latest_version/train/0_N/BRACS_1326_N_2.png
train,0_N,BRACS_1326,N,BRACS_1326_N_5.png,5710458,/BRACS_RoI/latest_version/train/0_N/BRACS_1326_N_5.png
