dataset,path,bytes,sha256,source_url
BCSS,data/raw/BCSS/smoke_v1/images/TCGA-A1-A0SK-DX1.png,2156026,d8822f589b59266cab322cc1d3aef13ed60ebc90284e645cfbed4f2a291e4518,https://demo.kitware.com/histomicstk/api/v1/item/5bbdeed1e629140048d01bcb/tiles/region?left=45749&right=49789&top=25055&bottom=27991&mm_x=0.001&mm_y=0.001&encoding=PNG
BCSS,data/raw/BCSS/smoke_v1/images/TCGA-A1-A0SP-DX1.png,4077917,9e6d466d9053fead6511e8acc6ed3677c091ef235f7113fc026d03f7751c6618,https://demo.kitware.com/histomicstk/api/v1/item/5bbdee5be629140048d01afd/tiles/region?left=6798&right=12556&top=53719&bottom=57797&mm_x=0.001&mm_y=0.001&encoding=PNG
BCSS,data/raw/BCSS/smoke_v1/masks_native/TCGA-A1-A0SK-DX1.png,141867,2577897e108e764529ec1c37ad73bbfc2697119eecfde552ad7e47e57fb06ce9,https://ndownloader.figshare.com/files/13243676
BCSS,data/raw/BCSS/smoke_v1/masks_native/TCGA-A1-A0SP-DX1.png,130165,47150e10bf7f9f26ab2d532b875f9fb01e2b44304a362647349b0ae3bb3b3f92,https://ndownloader.figshare.com/files/13243679
BCSS,data/raw/BCSS/smoke_v1/metadata/gtruth_codes.tsv,369,78b9ffda84febf95a454d49c83d29031af7be1032aa2413e7e535126d1d9a55f,https://raw.githubusercontent.com/PathologyDataScience/BCSS/3c49d554497dd896cd02ffe382503ef4ce28b1c1/meta/gtruth_codes.tsv
BCSS,data/raw/BCSS/smoke_v1/metadata/official_README.txt,4151,16f2ee5c66f84bf274c594a51720fc3f9a358a309030ff15f062ed998caab05c,https://raw.githubusercontent.com/PathologyDataScience/BCSS/3c49d554497dd896cd02ffe382503ef4ce28b1c1/README.md
BCSS,data/raw/BCSS/smoke_v1/metadata/roiBounds.csv,13615,564bc31fdd5808e5d57de40cc65541aad2c1dbc9415e2e0448f25c00ed144d28,https://raw.githubusercontent.com/PathologyDataScience/BCSS/3c49d554497dd896cd02ffe382503ef4ce28b1c1/meta/roiBounds.csv
BCSS,data/raw/BCSS/smoke_v1/metadata/server_items.json,78149,c4f87664c3e0c6748b61f8e10459543953ac37fa2073b9dbbe8091c6e85e023a,https://demo.kitware.com/histomicstk/api/v1/item?folderId=5bbdeba3e629140048d017bb&limit=1000
BCSS,data/raw/BCSS/smoke_v1/metadata/TCGA-A1-A0SK-DX1.json,179,8e9902d13a7082acb0f51c6e3a8715acb56655c3b69fc12199c45b1a1fd7f09c,https://demo.kitware.com/histomicstk/api/v1/item/5bbdeed1e629140048d01bcb/tiles
BCSS,data/raw/BCSS/smoke_v1/metadata/TCGA-A1-A0SP-DX1.json,179,bf42ad82240cff69c573132b3004fac9f3d7a38bbcaa4bccbde0d453bf6274b4,https://demo.kitware.com/histomicstk/api/v1/item/5bbdee5be629140048d01afd/tiles
BRACS,data/raw/BRACS/BRACS.xlsx,117272,9622108cf2bbf05b997e03611587ef35e29a658b13afc22f248240c5eb854edf,ftp://histoimage.na.icar.cnr.it/BRACS.xlsx
BRACS,data/raw/BRACS/RoI/train/0_N/BRACS_1003675_N_1.png,10507581,2d06cbc4e76bfebcfb44ad2ddbbbe9a3076a829cc7486ac68a8433a59af22964,ftp://histoimage.na.icar.cnr.it/BRACS_RoI/latest_version/train/0_N/BRACS_1003675_N_1.png
BRACS,data/raw/BRACS/RoI/train/0_N/BRACS_1003713_N_1.png,3465007,71ed536d986da7ddf219b0b01cb4d904c5fd915f1b4dd7fc9d4138da8a01d7a7,ftp://histoimage.na.icar.cnr.it/BRACS_RoI/latest_version/train/0_N/BRACS_1003713_N_1.png
BRACS,data/raw/BRACS/RoI/train/0_N/BRACS_1003714_N_1.png,14122060,1e0d4baf13a8652b158cd8ea2a3c991a4ad5de9c02fc305701002bfdbb8ea3bf,ftp://histoimage.na.icar.cnr.it/BRACS_RoI/latest_version/train/0_N/BRACS_1003714_N_1.png
BRACS,data/raw/BRACS/RoI/train/0_N/BRACS_1003715_N_1.png,11461037,44054f15f2761522fe3c8b68c2e1f1c46fa137d2550cf15e187f68d4dd7691be,ftp://histoimage.na.icar.cnr.it/BRACS_RoI/latest_version/train/0_N/BRACS_1003715_N_1.png
BRACS,data/raw/BRACS/RoI/train/0_N/BRACS_1003716_N_1.png,4033640,9d59fb37de117b1e40fe750127687ae10dc202abfeb6c7822283237006eb8cfa,ftp://histoimage.na.icar.cnr.it/BRACS_RoI/latest_version/train/0_N/BRACS_1003716_N_1.png
BRACS,data/raw/BRACS/RoI/train/1_PB/BRACS_1003700_PB_1.png,9254534,0de46d3df5139e31601a8be2334ecd025270d7e762c9e9ce173d164206de6ed4,ftp://histoimage.na.icar.cnr.it/BRACS_RoI/latest_version/train/1_PB/BRACS_1003700_PB_1.png
BRACS,data/raw/BRACS/RoI/train/1_PB/BRACS_1003730_PB_1.png,9258813,cea6349fcf7191c84c2fb52cda2b9a7dd619249626c4dba240f2a6bb77a18ef8,ftp://histoimage.na.icar.cnr.it/BRACS_RoI/latest_version/train/1_PB/BRACS_1003730_PB_1.png
BRACS,data/raw/BRACS/RoI/train/2_UDH/BRACS_1003685_UDH_1.png,7813303,20fd5a81642f9d17dcc4d91e0562cd535abf53504e2a3d30dda9afa3959e0317,ftp://histoimage.na.icar.cnr.it/BRACS_RoI/latest_version/train/2_UDH/BRACS_1003685_UDH_1.png
BRACS,data/raw/BRACS/RoI/train/2_UDH/BRACS_1003705_UDH_1.png,2695728,3ad6cad0a523f75a73ff29ada1a876a11c9d5f530e24e1eea1287eeabf0ac5a0,ftp://histoimage.na.icar.cnr.it/BRACS_RoI/latest_version/train/2_UDH/BRACS_1003705_UDH_1.png
BRACS,data/raw/BRACS/RoI/train/3_FEA/BRACS_1231_FEA_33.png,618708,eed2b9eebb3def48747b6f05cdcee279234c56f7697982b2e1620f9ae6819ed1,ftp://histoimage.na.icar.cnr.it/BRACS_RoI/latest_version/train/3_FEA/BRACS_1231_FEA_33.png
